#RPLIDAR SCAN DATA
#COUNT=53833
#Angule	Distance	Quality
352.7813 1518.0 47
353.3906 1528.0 47
354.0000 1523.0 47
354.6094 1515.0 47
355.2188 1505.0 47
355.8281 1499.0 47
356.4375 1497.0 47
357.0313 1478.0 47
357.6406 1474.0 47
358.2500 1472.0 47
358.8594 1475.0 47
359.4688 1472.0 47
0.0781 1468.0 47
0.7031 1469.0 47
1.2969 1457.0 47
1.9063 1451.0 47
2.5156 1455.0 47
3.2500 1447.0 47
3.8438 1451.0 47
4.4531 1440.0 47
5.0625 1485.0 47
6.1563 1558.0 47
7.4844 3363.0 47
8.0938 3342.0 47
8.7031 3332.0 47
9.3125 3325.0 47
9.9219 3340.0 47
13.3281 1833.0 47
13.9375 1739.0 47
14.5469 1739.0 47
15.1563 1749.0 47
15.7656 1753.0 47
16.3750 1753.0 47
16.9844 1758.0 47
17.5938 1763.0 47
18.2031 1757.0 47
18.8125 1760.0 47
19.4219 1767.0 47
20.0313 1770.0 47
20.6406 1774.0 47
21.2500 1775.0 47
21.8594 1775.0 47
22.4688 1784.0 47
23.0781 1785.0 47
23.6875 1804.0 47
26.9844 3452.0 47
27.5938 3401.0 47
28.8281 3444.0 47
30.9375 1085.0 47
31.4219 1120.0 47
32.7656 1097.0 47
33.3750 1103.0 47
33.9844 1108.0 47
34.6094 1110.0 47
35.2188 1121.0 47
35.8281 1123.0 47
36.3125 1132.0 47
37.0625 1142.0 47
37.6719 1149.0 47
38.2813 1150.0 47
38.8906 1159.0 47
39.5000 1165.0 47
40.1250 1156.0 47
41.2188 1221.0 47
41.8281 1193.0 47
42.4531 1192.0 47
43.0625 1200.0 47
43.6719 1206.0 47
44.2969 1213.0 47
45.9844 3831.0 47
46.4688 3762.0 47
47.2031 3810.0 47
47.6875 4110.0 47
48.2969 4045.0 47
48.9063 3804.0 47
57.8594 222.0 47
55.0313 4144.0 47
56.2500 4723.0 47
62.2500 7105.0 47
62.8594 6769.0 47
63.4688 6717.0 47
64.7031 1799.0 47
65.3125 1823.0 47
81.7188 2221.0 47
82.3281 2192.0 47
82.9375 2195.0 47
83.5469 2181.0 47
85.1563 804.0 47
85.7813 810.0 47
86.5000 813.0 47
86.9844 821.0 47
87.5938 817.0 47
88.2031 817.0 47
88.9375 823.0 47
89.5469 806.0 47
90.1563 797.0 47
90.7656 798.0 47
91.2500 794.0 47
91.9844 790.0 47
92.7188 790.0 47
93.2031 794.0 47
93.8125 806.0 47
97.1875 5408.0 47
97.7969 5346.0 47
98.4063 5376.0 47
99.0156 5381.0 47
99.6250 5389.0 47
100.2344 5365.0 47
100.8281 5136.0 47
101.4375 5163.0 47
102.0469 5176.0 47
102.6563 5148.0 47
106.8750 396.0 47
107.4844 390.0 47
107.8438 385.0 47
108.7031 383.0 47
109.0625 381.0 47
109.6563 381.0 47
110.5156 379.0 47
111.1250 378.0 47
111.8594 377.0 47
112.4531 376.0 47
113.0625 376.0 47
113.5469 376.0 47
114.2813 377.0 47
114.8906 379.0 47
115.2344 379.0 47
115.7188 380.0 47
116.4531 382.0 47
117.1875 384.0 47
117.6563 387.0 47
118.3906 391.0 47
118.6250 398.0 47
120.2969 506.0 47
120.9063 500.0 47
121.6406 493.0 47
122.2500 489.0 47
122.9844 483.0 47
123.7188 480.0 47
124.2031 478.0 47
125.1875 450.0 47
125.6719 429.0 47
126.4063 427.0 47
126.8906 426.0 47
127.7500 426.0 47
128.4844 388.0 47
128.9688 394.0 47
130.5469 457.0 47
131.0313 466.0 47
131.3906 474.0 47
132.0000 479.0 47
132.7344 482.0 47
133.3438 484.0 47
133.8281 484.0 47
134.5625 485.0 47
135.2969 476.0 47
135.9063 463.0 47
136.6406 461.0 47
137.1250 461.0 47
137.8594 462.0 47
138.0938 462.0 47
139.0781 465.0 47
139.5625 468.0 47
140.2969 471.0 47
140.6563 474.0 47
141.1406 478.0 47
142.0313 481.0 47
142.3750 486.0 47
143.1094 493.0 47
145.3906 859.0 47
146.0000 853.0 47
147.1094 699.0 47
147.5938 693.0 47
148.2031 699.0 47
149.7813 801.0 47
150.3906 794.0 47
151.0000 788.0 47
151.6094 779.0 47
152.3438 774.0 47
152.9531 768.0 47
153.5625 763.0 47
154.5469 627.0 47
155.1563 622.0 47
155.6406 623.0 47
156.3750 630.0 47
157.9531 722.0 47
158.5625 716.0 47
159.1719 714.0 47
159.7813 708.0 47
160.3906 705.0 47
160.9844 701.0 47
161.5938 695.0 47
162.2031 692.0 47
162.8125 689.0 47
163.4219 684.0 47
164.0313 681.0 47
164.7656 678.0 47
165.3750 675.0 47
165.9844 670.0 47
166.4688 668.0 47
167.2031 664.0 47
167.8125 662.0 47
168.4219 658.0 47
169.1563 656.0 47
169.6406 654.0 47
170.3750 651.0 47
170.9844 647.0 47
171.4688 646.0 47
172.2031 644.0 47
172.6875 642.0 47
173.5469 639.0 47
174.0313 637.0 47
174.5156 635.0 47
175.2500 634.0 47
175.8594 631.0 47
176.4844 630.0 47
177.0781 630.0 47
177.8125 627.0 47
178.1719 627.0 47
178.7813 625.0 47
179.5156 623.0 47
180.1250 620.0 47
180.8438 622.0 47
181.3281 621.0 47
181.9375 619.0 47
182.5469 617.0 47
183.1563 617.0 47
183.7656 617.0 47
184.3750 616.0 47
184.9844 616.0 47
185.5938 616.0 47
186.3281 614.0 47
186.8125 614.0 47
187.4219 613.0 47
188.1563 613.0 47
188.7656 613.0 47
189.2500 613.0 47
189.9844 613.0 47
190.5938 613.0 47
191.0781 613.0 47
191.8125 613.0 47
192.2969 613.0 47
192.9063 613.0 47
193.3906 615.0 47
194.1250 614.0 47
194.8594 614.0 47
195.3438 616.0 47
195.9531 616.0 47
196.5625 616.0 47
197.1719 617.0 47
197.9063 617.0 47
