#RPLIDAR SCAN DATA
#COUNT=132948
#Angule	Distance	Quality
40.5000 316.0 47
40.7344 312.0 47
41.3438 309.0 47
42.4375 305.0 47
43.0469 301.0 47
43.1406 298.0 47
44.0000 294.0 47
44.7344 291.0 47
45.4531 288.0 47
0.4063 796.0 47
1.0156 796.0 47
1.6094 797.0 47
2.2188 800.0 47
2.8281 795.0 47
3.4219 798.0 47
4.0313 800.0 47
4.6406 800.0 47
5.2344 807.0 47
5.8438 803.0 47
6.4375 804.0 47
7.0469 805.0 47
7.5313 808.0 47
8.2500 813.0 47
8.8594 813.0 47
9.3438 813.0 47
10.0625 818.0 47
10.5469 819.0 47
11.1406 820.0 47
11.7500 827.0 47
12.3594 828.0 47
13.0781 829.0 47
13.6875 831.0 47
14.8906 769.0 47
15.7500 736.0 47
16.2188 706.0 47
17.0781 680.0 47
17.6875 656.0 47
18.4063 632.0 47
19.0156 610.0 47
19.7500 593.0 47
20.3438 574.0 47
21.2031 558.0 47
21.8125 541.0 47
22.2813 525.0 47
23.1406 511.0 47
23.7500 498.0 47
24.7188 485.0 47
25.0781 474.0 47
25.8125 462.0 47
26.6563 452.0 47
27.2656 441.0 47
28.0000 431.0 47
28.5938 423.0 47
29.4531 414.0 47
30.0625 406.0 47
30.7969 398.0 47
31.2656 390.0 47
31.8750 383.0 47
32.4844 377.0 47
33.3281 369.0 47
33.8125 363.0 47
34.7969 357.0 47
35.2656 352.0 47
35.8750 346.0 47
36.9844 341.0 47
37.8281 335.0 47
38.1875 330.0 47
38.6719 326.0 47
39.3906 321.0 47
40.5000 316.0 47
40.7344 312.0 47
41.3438 309.0 47
42.4375 305.0 47
43.0469 301.0 47
43.1406 298.0 47
44.0000 294.0 47
44.7344 291.0 47
45.4531 288.0 47
46.4375 285.0 47
46.5469 282.0 47
47.3906 279.0 47
48.0000 276.0 47
48.8438 274.0 47
49.2188 271.0 47
50.1875 269.0 47
51.0313 266.0 47
51.8906 264.0 47
51.7500 262.0 47
52.3438 259.0 47
54.0781 257.0 47
53.9219 255.0 47
54.7813 253.0 47
56.3906 251.0 47
56.9844 249.0 47
56.9688 248.0 47
58.9531 246.0 47
58.1719 244.0 47
58.6563 243.0 47
60.0000 241.0 47
59.9844 239.0 47
59.9688 238.0 47
62.5781 236.0 47
61.6719 235.0 47
61.9063 234.0 47
64.3750 232.0 47
64.9844 231.0 47
64.5938 230.0 47
65.2031 229.0 47
66.1719 228.0 47
67.4063 227.0 47
68.0156 225.0 47
68.6250 225.0 47
69.2188 224.0 47
68.5781 223.0 47
69.1875 222.0 47
71.0469 221.0 47
70.1406 220.0 47
72.2500 219.0 47
